Продукт,Калорийность,Белки,Жиры,Углеводы
Чипсы Картофельные с Солью [Яшкино],510 кКал,6 г,32 г,50 г
Шантарель [Яшкино],420 кКал,"1,5 г",12 г,76 г
Швейцарский Бисквитный Рулет Вишневый [Яшкино],370 кКал,5 г,13 г,58 г
Швейцарский Бисквитный Рулет Клубника со Сливками [Яшкино],370 кКал,5 г,13 г,58 г
Швейцарский Бисквитный Рулет с Вареной Сгущенкой [Яшкино],350 кКал,5 г,11 г,57 г
Шоколад Горький 75% [Яшкино],560 кКал,"7,5 г",46 г,27 г
Шоколад Молочный с Фундуком и Изюмом [Яшкино],540 кКал,"6,5 г",35 г,50 г
Шоколад Молочный с Яблоком [Яшкино],500 кКал,5 г,26 г,62 г
Шоколадный Батончик [Яшкино],447 кКал,"2,6 г","16,5 г",73 г
Шоколадный Батончик Импульс [Яшкино],485 кКал,"7,2 г","24,3 г","59,2 г"
Шоколадный Батончик с Грушевой Начинкой [Яшкино],420 кКал,3 г,17 г,64 г
Щербет с Изюмом и Арахисом [Яшкино],480 кКал,6 г,9 г,75 г
Ярче Семечки в Мягкой Карамели [Яшкино],497 кКал,"9,6 г","30,5 г","51,2 г"
Яшкинская Картошка [Яшкино],537 кКал,"6,3 г","31,7 г","56,7 г"
